timestamp,raw_file,source_id,author,source_type,title,year,passages_added,status,notes
2026-01-29T12:28:21.239269,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-094.txt,jw-sermon-094,john-wesley,sermon,Sermon 094,,14,ingested,
2026-01-29T12:28:21.617173,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-095.txt,jw-sermon-095,john-wesley,sermon,Sermon 095,,18,ingested,
2026-01-29T12:28:22.418801,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-096.txt,jw-sermon-096,john-wesley,sermon,Sermon 096,,14,ingested,
2026-01-29T12:28:22.934930,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-097.txt,jw-sermon-097,john-wesley,sermon,Sermon 097,,12,ingested,
2026-01-29T12:28:23.300590,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-099.txt,jw-sermon-099,john-wesley,sermon,Sermon 099,,14,ingested,
2026-01-29T12:28:23.590488,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-100.txt,jw-sermon-100,john-wesley,sermon,Sermon 100,,11,ingested,
2026-01-29T12:28:23.916079,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-101.txt,jw-sermon-101,john-wesley,sermon,Sermon 101,,14,ingested,
2026-01-29T12:28:24.311327,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-102.txt,jw-sermon-102,john-wesley,sermon,Sermon 102,,14,ingested,
2026-01-29T12:28:24.745703,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-103.txt,jw-sermon-103,john-wesley,sermon,Sermon 103,,9,ingested,
2026-01-29T12:28:25.210515,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-104.txt,jw-sermon-104,john-wesley,sermon,Sermon 104,,16,ingested,
2026-01-29T12:28:25.570879,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-105.txt,jw-sermon-105,john-wesley,sermon,Sermon 105,,12,ingested,
2026-01-29T12:28:25.950667,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-106.txt,jw-sermon-106,john-wesley,sermon,Sermon 106,,9,ingested,
2026-01-29T12:28:26.359599,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-107.txt,jw-sermon-107,john-wesley,sermon,Sermon 107,,15,ingested,
2026-01-29T12:28:26.736304,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-108.txt,jw-sermon-108,john-wesley,sermon,Sermon 108,,11,ingested,
2026-01-29T12:28:27.359891,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-109.txt,jw-sermon-109,john-wesley,sermon,Sermon 109,,9,ingested,
2026-01-29T12:28:27.804796,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-110.txt,jw-sermon-110,john-wesley,sermon,Sermon 110,,9,ingested,
2026-01-29T12:28:28.199100,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-111.txt,jw-sermon-111,john-wesley,sermon,Sermon 111,,8,ingested,
2026-01-29T12:28:28.643824,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-113.txt,jw-sermon-113,john-wesley,sermon,Sermon 113,,12,ingested,
2026-01-29T12:28:28.990370,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-114.txt,jw-sermon-114,john-wesley,sermon,Sermon 114,,12,ingested,
2026-01-29T12:28:29.285978,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-115.txt,jw-sermon-115,john-wesley,sermon,Sermon 115,,13,ingested,
2026-01-29T12:28:29.683387,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-116.txt,jw-sermon-116,john-wesley,sermon,Sermon 116,,13,ingested,
2026-01-29T12:28:30.054802,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-117.txt,jw-sermon-117,john-wesley,sermon,Sermon 117,,8,ingested,
2026-01-29T12:28:30.612455,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-118.txt,jw-sermon-118,john-wesley,sermon,Sermon 118,,12,ingested,
2026-01-29T12:28:30.984769,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-119.txt,jw-sermon-119,john-wesley,sermon,Sermon 119,,8,ingested,
2026-01-29T12:28:31.401090,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-121.txt,jw-sermon-121,john-wesley,sermon,Sermon 121,,11,ingested,
2026-01-29T12:28:31.876333,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-122.txt,jw-sermon-122,john-wesley,sermon,Sermon 122,,12,ingested,
2026-01-29T12:28:32.198836,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-123.txt,jw-sermon-123,john-wesley,sermon,Sermon 123,,11,ingested,
2026-01-29T12:28:32.594698,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-124.txt,jw-sermon-124,john-wesley,sermon,Sermon 124,,7,ingested,
2026-01-29T12:28:33.048398,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-125.txt,jw-sermon-125,john-wesley,sermon,Sermon 125,,9,ingested,
2026-01-29T12:28:33.413531,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-126.txt,jw-sermon-126,john-wesley,sermon,Sermon 126,,12,ingested,
2026-01-29T12:28:33.785950,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-127.txt,jw-sermon-127,john-wesley,sermon,Sermon 127,,12,ingested,
2026-01-29T12:28:34.226598,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-130.txt,jw-sermon-130,john-wesley,sermon,Sermon 130,,12,ingested,
2026-01-29T12:28:34.722513,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-131.txt,jw-sermon-131,john-wesley,sermon,Sermon 131,,13,ingested,
2026-01-29T12:28:35.155723,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-132.txt,jw-sermon-132,john-wesley,sermon,Sermon 132,,16,ingested,
2026-01-29T12:28:35.746239,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-133.txt,jw-sermon-133,john-wesley,sermon,Sermon 133,,26,ingested,
2026-01-29T12:28:36.149517,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-134.txt,jw-sermon-134,john-wesley,sermon,Sermon 134,,14,ingested,
2026-01-29T12:28:36.448974,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-135.txt,jw-sermon-135,john-wesley,sermon,Sermon 135,,7,ingested,
2026-01-29T12:28:36.893985,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-136.txt,jw-sermon-136,john-wesley,sermon,Sermon 136,,8,ingested,
2026-01-29T12:28:37.778390,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-137.txt,jw-sermon-137,john-wesley,sermon,Sermon 137,,17,ingested,
2026-01-29T12:28:38.847158,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-138.txt,jw-sermon-138,john-wesley,sermon,Sermon 138,,10,ingested,
2026-01-29T12:28:39.732448,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-139.txt,jw-sermon-139,john-wesley,sermon,Sermon 139,,10,ingested,
2026-01-29T12:28:40.192263,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-140.txt,jw-sermon-140,john-wesley,sermon,Sermon 140,,12,ingested,
2026-01-29T12:28:40.561181,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/sermon-141.txt,jw-sermon-141,john-wesley,sermon,Sermon 141,,18,ingested,
2026-01-29T12:36:10.061441,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/a-plain-account-of-kingswood-school.txt,jw-a-plain-account-of-kingswood-school,john-wesley,treatise,A Plain Account Of Kingswood School,,17,ingested,
2026-01-29T12:36:10.403970,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/a-word-to-a-drunkard.txt,jw-a-word-to-a-drunkard,john-wesley,treatise,A Word To A Drunkard,,3,ingested,
2026-01-29T12:36:11.086920,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/a-word-to-a-smuggler.txt,jw-a-word-to-a-smuggler,john-wesley,treatise,A Word To A Smuggler,,6,ingested,
2026-01-29T12:36:11.638339,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/advice-to-the-people-called-methodists.txt,jw-advice-to-the-people-called-methodists,john-wesley,treatise,Advice To The People Called Methodists,,10,ingested,
2026-01-29T12:36:12.550080,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/an-address-to-the-clergy.txt,jw-an-address-to-the-clergy,john-wesley,treatise,An Address To The Clergy,,27,ingested,
2026-01-29T12:36:13.368397,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/principles-of-a-methodist.txt,jw-principles-of-a-methodist,john-wesley,treatise,Principles Of A Methodist,,19,ingested,
2026-01-29T12:36:16.155684,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/principles-of-a-methodist-farther-explained.txt,jw-principles-of-a-methodist-farther-explained,john-wesley,treatise,Principles Of A Methodist Farther Explained,,92,ingested,
2026-01-29T12:36:40.812000,/Users/wilsonpruitt/Documents/Personal/wesley-corpus/raw/john-wesley/journal-vol1-3.txt,jw-journal-vol1-3,john-wesley,journal,Journal Vol1 3,,1253,ingested,
